cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
16,511,6098,0.0008871318515022925,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7156778179274974
172,511,9361,0.0013339715570385789,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7903354051178677
269,511,11601,0.0016887610541971671,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.596409747951782
7,511,1582,0.00021979523812792046,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.9352912303664922
124,511,2243,0.0003255174295788321,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.84364979785306
284δ,511,2436,0.00035625212736223577,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7534038568608594
298δ,511,4697,0.0006855322051683257,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7040514145296453
3δ,511,2705,0.00037934635914532445,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.9077075301102051
216δ,511,7721,0.0011011218039130959,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8072544810025463
151δ,511,7319,0.0010568438147895887,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.758432899861377
287δ,511,2200,0.00032084247948409506,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8066953694754415
278δ,511,3060,0.0004469850216258349,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7474309768478395
317δ,511,7292,0.0010638028081801727,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.641132901892271
27δ,511,2129,0.00030554270985881367,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8868215405879538
138,510,5475,0.0007986009771300923,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.6919311276164753
6,510,4642,0.0006639127379658268,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.8432498142770312
156,510,7014,0.0010197457326756609,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.7033120426377902
56,510,3619,0.0005269007304815169,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.7729112414896621
4,510,3327,0.00047340725416686574,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.8777669599720778
325,510,1227,0.0001797830064975028,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.7877162629757786
253,510,4179,0.000611726311687405,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.6481730931133187
15,510,1201,0.00016841928344702532,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.9385316170637459
160,510,1885,0.0002698605025817799,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.8983690524329424
